ax_0,ay_0,yaw_0
-0.157459568,0.075541277,2.694275627
-0.157459568,0.075541277,2.694275627
-0.157459568,0.075541277,2.694275627
-0.157459568,0.075541277,2.694275627
-0.189186267,0.026618721,3.00180913
-0.189186267,0.026618721,3.00180913
-0.189186267,0.026618721,3.00180913
-0.189186267,0.026618721,3.00180913
-0.189186267,0.026618721,3.00180913
-0.189186267,0.026618721,3.00180913
-0.189186267,0.026618721,3.00180913
-0.189186267,0.026618721,3.00180913
-0.189186267,0.026618721,3.00180913
-0.189186267,0.026618721,3.00180913
-0.189186267,0.026618721,3.00180913
-0.189186267,0.026618721,3.00180913
-0.189186267,0.026618721,3.00180913
-0.189186267,0.026618721,3.00180913
-0.189186267,0.026618721,3.00180913
-0.189186267,0.026618721,3.00180913
-0.156063588,0.11551691,2.504398722
-0.156063588,0.11551691,2.504398722
-0.156063588,0.11551691,2.504398722
-0.156063588,0.11551691,2.504398722
-0.156063588,0.11551691,2.504398722
-0.156063588,0.11551691,2.504398722
-0.156063588,0.11551691,2.504398722
-0.156063588,0.11551691,2.504398722
-0.156063588,0.11551691,2.504398722
-0.156063588,0.11551691,2.504398722
-0.156063588,0.11551691,2.504398722
-0.156063588,0.11551691,2.504398722
-0.156063588,0.11551691,2.504398722
-0.156063588,0.11551691,2.504398722
-0.156063588,0.11551691,2.504398722
-0.156063588,0.11551691,2.504398722
-0.156063588,0.11551691,2.504398722
-0.094704158,0.153398574,2.123892345
-0.094704158,0.153398574,2.123892345
-0.094704158,0.153398574,2.123892345
-0.094704158,0.153398574,2.123892345
-0.094704158,0.153398574,2.123892345
-0.094704158,0.153398574,2.123892345
-0.094704158,0.153398574,2.123892345
-0.094704158,0.153398574,2.123892345
-0.094704158,0.153398574,2.123892345
-0.094704158,0.153398574,2.123892345
-0.094704158,0.153398574,2.123892345
-0.094704158,0.153398574,2.123892345
-0.094704158,0.153398574,2.123892345
-0.094704158,0.153398574,2.123892345
-0.094704158,0.153398574,2.123892345
-0.094704158,0.153398574,2.123892345
-0.094704158,0.153398574,2.123892345
-0.094704158,0.153398574,2.123892345
-0.188837272,0.036612629,2.950084192
-0.188837272,0.036612629,2.950084192
-0.188837272,0.036612629,2.950084192
-0.188837272,0.036612629,2.950084192
-0.188837272,0.036612629,2.950084192
-0.188837272,0.036612629,2.950084192
-0.188837272,0.036612629,2.950084192
-0.188837272,0.036612629,2.950084192
-0.188837272,0.036612629,2.950084192
-0.188837272,0.036612629,2.950084192
-0.188837272,0.036612629,2.950084192
-0.188837272,0.036612629,2.950084192
-0.188837272,0.036612629,2.950084192
-0.188837272,0.036612629,2.950084192
-0.188837272,0.036612629,2.950084192
-0.188837272,0.036612629,2.950084192
-0.159204542,0.025571736,2.982331074
-0.159204542,0.025571736,2.982331074
-0.159204542,0.025571736,2.982331074
-0.159204542,0.025571736,2.982331074
-0.159204542,0.025571736,2.982331074
-0.159204542,0.025571736,2.982331074
-0.159204542,0.025571736,2.982331074
-0.159204542,0.025571736,2.982331074
-0.159204542,0.025571736,2.982331074
-0.159204542,0.025571736,2.982331074
-0.159204542,0.025571736,2.982331074
-0.159204542,0.025571736,2.982331074
-0.159204542,0.025571736,2.982331074
-0.159204542,0.025571736,2.982331074
-0.159204542,0.025571736,2.982331074
-0.159204542,0.025571736,2.982331074
-0.159204542,0.025571736,2.982331074
-0.140263711,-0.005107979,-3.105191774
-0.140263711,-0.005107979,-3.105191774
-0.140263711,-0.005107979,-3.105191774
-0.140263711,-0.005107979,-3.105191774
-0.140263711,-0.005107979,-3.105191774
-0.140263711,-0.005107979,-3.105191774
-0.140263711,-0.005107979,-3.105191774
-0.140263711,-0.005107979,-3.105191774
-0.140263711,-0.005107979,-3.105191774
-0.140263711,-0.005107979,-3.105191774
-0.140263711,-0.005107979,-3.105191774
-0.140263711,-0.005107979,-3.105191774
-0.140263711,-0.005107979,-3.105191774
-0.140263711,-0.005107979,-3.105191774
-0.140263711,-0.005107979,-3.105191774
-0.140263711,-0.005107979,-3.105191774
-0.140263711,-0.005107979,-3.105191774
0.035565644,0.158855547,1.350541792
0.035565644,0.158855547,1.350541792
0.035565644,0.158855547,1.350541792
0.035565644,0.158855547,1.350541792
0.035565644,0.158855547,1.350541792
0.035565644,0.158855547,1.350541792
0.035565644,0.158855547,1.350541792
0.035565644,0.158855547,1.350541792
0.035565644,0.158855547,1.350541792
0.035565644,0.158855547,1.350541792
0.035565644,0.158855547,1.350541792
0.035565644,0.158855547,1.350541792
0.035565644,0.158855547,1.350541792
0.035565644,0.158855547,1.350541792
0.035565644,0.158855547,1.350541792
0.035565644,0.158855547,1.350541792
-0.188139282,0.056600446,2.849362354
-0.188139282,0.056600446,2.849362354
-0.188139282,0.056600446,2.849362354
-0.188139282,0.056600446,2.849362354
-0.188139282,0.056600446,2.849362354
-0.188139282,0.056600446,2.849362354
-0.188139282,0.056600446,2.849362354
-0.188139282,0.056600446,2.849362354
-0.188139282,0.056600446,2.849362354
-0.188139282,0.056600446,2.849362354
-0.188139282,0.056600446,2.849362354
-0.188139282,0.056600446,2.849362354
-0.188139282,0.056600446,2.849362354
-0.188139282,0.056600446,2.849362354
-0.188139282,0.056600446,2.849362354
-0.188139282,0.056600446,2.849362354
-0.188139282,0.056600446,2.849362354
-0.188139282,0.056600446,2.849362354
-0.176400399,0.106220992,2.599587564
-0.176400399,0.106220992,2.599587564
-0.176400399,0.106220992,2.599587564
-0.176400399,0.106220992,2.599587564
-0.176400399,0.106220992,2.599587564
-0.176400399,0.106220992,2.599587564
-0.176400399,0.106220992,2.599587564
-0.176400399,0.106220992,2.599587564
-0.176400399,0.106220992,2.599587564
