ax_0,ay_0,yaw_0
-0.175146028,-0.108737616,-2.585990575
-0.175146028,-0.108737616,-2.585990575
-0.207414552,-0.032851238,-2.984513021
-0.207414552,-0.032851238,-2.984513021
-0.207414552,-0.032851238,-2.984513021
-0.207414552,-0.032851238,-2.984513021
-0.207414552,-0.032851238,-2.984513021
-0.207414552,-0.032851238,-2.984513021
-0.207414552,-0.032851238,-2.984513021
-0.207414552,-0.032851238,-2.984513021
-0.207414552,-0.032851238,-2.984513021
-0.207414552,-0.032851238,-2.984513021
-0.207414552,-0.032851238,-2.984513021
-0.207414552,-0.032851238,-2.984513021
-0.207414552,-0.032851238,-2.984513021
-0.207414552,-0.032851238,-2.984513021
-0.207414552,-0.032851238,-2.984513021
-0.149134882,-0.14511646,-2.369850069
-0.149134882,-0.14511646,-2.369850069
-0.149134882,-0.14511646,-2.369850069
-0.149134882,-0.14511646,-2.369850069
-0.149134882,-0.14511646,-2.369850069
-0.149134882,-0.14511646,-2.369850069
-0.149134882,-0.14511646,-2.369850069
-0.149134882,-0.14511646,-2.369850069
-0.149134882,-0.14511646,-2.369850069
-0.149134882,-0.14511646,-2.369850069
-0.149134882,-0.14511646,-2.369850069
-0.149134882,-0.14511646,-2.369850069
-0.149134882,-0.14511646,-2.369850069
-0.149134882,-0.14511646,-2.369850069
-0.149134882,-0.14511646,-2.369850069
-0.149134882,-0.14511646,-2.369850069
-0.149134882,-0.14511646,-2.369850069
-0.050948762,0.00205516,3.101276726
-0.050948762,0.00205516,3.101276726
-0.050948762,0.00205516,3.101276726
-0.050948762,0.00205516,3.101276726
-0.050948762,0.00205516,3.101276726
-0.050948762,0.00205516,3.101276726
-0.050948762,0.00205516,3.101276726
-0.050948762,0.00205516,3.101276726
-0.050948762,0.00205516,3.101276726
-0.050948762,0.00205516,3.101276726
-0.050948762,0.00205516,3.101276726
-0.050948762,0.00205516,3.101276726
-0.050948762,0.00205516,3.101276726
-0.050948762,0.00205516,3.101276726
-0.050948762,0.00205516,3.101276726
-0.050948762,0.00205516,3.101276726
-0.185971847,-0.154643048,-2.447913614
-0.185971847,-0.154643048,-2.447913614
-0.185971847,-0.154643048,-2.447913614
-0.185971847,-0.154643048,-2.447913614
-0.185971847,-0.154643048,-2.447913614
-0.185971847,-0.154643048,-2.447913614
-0.185971847,-0.154643048,-2.447913614
-0.185971847,-0.154643048,-2.447913614
-0.185971847,-0.154643048,-2.447913614
-0.185971847,-0.154643048,-2.447913614
