°C,No,PT100两端电压(V),热敏电阻阻值(Ω),PN结两端电压(V),PT100阻值(Ω),热力学温度(K),1/T(K^-1),lnR (lnΩ)
98,1522,0.137741455,387.6094453,0.365845702,129.2133721,371.15,0.002694328,5.959998248
99.084,1536,0.138152727,376.0994599,0.363272093,129.5991809,372.234,0.002686482,5.929853629
100.046,1548,0.138517388,366.6209797,0.36108043,129.9412645,373.196,0.002679557,5.904328562
101.065,1561,0.138903865,356.7369495,0.358718536,130.3038129,374.215,0.002672261,5.876998674
102.067,1574,0.139283785,347.2340612,0.356368921,130.6602107,375.217,0.002665124,5.84999908
103.059,1587,0.139659652,338.0997979,0.354035399,131.0128063,376.209,0.002658097,5.823341112
104.052,1600,0.140035518,329.3228942,0.351715109,131.3654019,377.202,0.002651099,5.797038711
105.039,1613,0.140409478,320.8733094,0.349409005,131.7162083,378.189,0.002644181,5.771046371
106.01,1626,0.140776762,312.7460368,0.347113749,132.0607522,379.16,0.002637409,5.745391477
108.059,1654,0.141552218,296.2649343,0.342238923,132.7881973,381.209,0.002623233,5.691254102
109.061,1668,0.141931185,288.5175519,0.339827915,133.1437004,382.211,0.002616356,5.664755923
110.08,1682,0.142316469,281.0824681,0.337438007,133.5051305,383.23,0.002609399,5.638648107
111.053,1696,0.14268423,273.9502951,0.335070034,133.8501218,384.203,0.002602791,5.612946685
112.034,1710,0.14305509,267.1016316,0.332608004,134.1980205,385.184,0.002596162,5.587629229
113.01,1724,0.143423685,260.5333484,0.33039703,134.5437946,386.16,0.0025896,5.56273087
114.048,1739,0.143815407,253.7910792,0.327937265,134.9112634,387.198,0.002582658,5.536511406
115.044,1754,0.144191631,247.3429589,0.325506468,135.2641945,388.194,0.002576032,5.510775871
116.042,1769,0.144568094,241.1770964,0.323107858,135.6173492,389.192,0.002569426,5.485531504
117.049,1784,0.144948014,235.2853558,0.320743699,135.973747,390.199,0.002562795,5.460799057
118.057,1800,0.145328173,229.2815882,0.31825604,136.3303685,391.207,0.002556191,5.434950891
119.009,1815,0.14568735,223.9055469,0.315959234,136.6673081,392.159,0.002549986,5.411224297
119.611,1826,0.145914206,220.1085222,0.314298529,136.8801179,392.761,0.002546078,5.394120707
