ax-0,ay-0,omega-0,ax-1,ay-1,omega-1,ax-2,ay-2,omega-2
-0.0026830617428780235,0.009967179987386908,0.05171785302793556,-0.009317689286185427,-0.005344288959902022,0.05497570581161071,0.009186460715203404,-0.006016609222711522,0.05496257978045982
-0.002958892973023122,0.010235632742316274,0.05438893769872806,-0.007538129276177561,-0.00791333832058896,0.05540039561409138,0.010139645637069329,-0.003607495810178015,0.05482450151299556
-0.0040046539965651485,0.011395023937154539,0.0636089252579621,-0.007811726618906342,-0.009387259591903119,0.06517125293079573,0.011802944687210456,-0.0018880975994577704,0.06506289661047937
-0.009652134888372016,0.012743836543529143,0.09051204225466389,-0.006363955340406656,-0.015068352884430767,0.09248293079728853,0.016084591836651462,0.0021078307132230863,0.09288304862775654
-0.0025001482249417672,0.0001347498913016675,0.0009750000000000118,0.0002875901743172593,0.0005244930239567402,-0.002700000000022129,-0.00047984530979205964,-0.0008054914565000515,-0.0014000000001956892
-0.000558316759809009,-0.0003916536889208516,-0.0009250000000003659,0.000939305044504272,-0.00011131234163112384,-0.0027375000000162686,-6.331474977638862e-05,0.000197417421644709,-0.0013250000001185924
8.833357075363082e-05,-0.00018669319127224463,-0.0004083333333337158,0.0003357965993629792,-0.0004249208713839682,-0.0006666666667006401,-0.00017985896149216467,-0.00020536429401474265,6.666666658716736e-05
-0.0005928673592307737,0.00013983275735557842,0.0010562499999989075,0.00010595743042246823,-1.5103750051817668e-05,-0.00017500000002446114,0.0001262754688817699,7.924249661275368e-05,0.00018124999991986357
-0.0009261830189385978,-0.012287331324807433,-0.07004326189826035,0.013363472117004088,0.004143172481256563,-0.0750394093155915,-0.011329567444779559,0.006727947532092493,-0.07316403172064057
-0.006330647617372145,-0.018307021844135813,-0.10861788304218016,0.02070202178896863,0.0032391933973573307,-0.11529817192670322,-0.013022155137519994,0.015332766935310629,-0.11419637752445588
-0.019514290451204747,-0.0173836887333558,-0.1619255193963679,0.025724274907855258,-0.009837735320419276,-0.12553261099537508,-0.004832920872215041,0.026859009072647256,-0.12567812219739238
-0.0176202032440422,-0.012491317836831823,-0.10551370244083866,0.017314391365265535,-0.0040361792884441305,-0.10773754286952375,-0.005814516607571964,0.016639791975973966,-0.1071074488878887
