ax-0,ay-0,omega-0,ax-1,ay-1,omega-1
-0.007576352,0.011769931,-0.006475438,-0.012155253,0.014145452,9.31E-05
-0.000625237,0.00616579,-0.005659117,-0.002926471,0.005191305,-0.002678779
0.000276215,0.007382642,-0.006012501,-0.004118761,0.006360204,-0.003536974
-0.001714733,0.008348827,-0.00650695,-0.005897573,0.008725552,-0.002814551
-0.004848196,0.010160139,-0.006776897,-0.009024341,0.011499159,-0.001179395
0.000751857,0.010159059,-0.010468712,-0.003497383,0.008750083,-0.004830751
-0.002443287,0.010334118,-0.008712401,-0.006143495,0.009735385,-0.004201112
-0.004499522,0.011167226,-0.007581695,-0.008924673,0.011770748,-0.002695184
-0.009812991,0.012725636,-0.006295253,-0.014515051,0.015877838,0.002158678
-0.000616054,0.008731677,-0.00626049,-0.005311585,0.009539877,-0.001155193
-0.00066239,0.009106918,-0.007117367,-0.005880944,0.009509322,-0.002009998
-0.002560968,0.010186817,-0.007119796,-0.008049768,0.010661789,-0.001941827
-0.006696481,0.011873959,-0.006558573,-0.012127029,0.014375157,0.000560078
-0.000326902,0.006447724,-0.005534597,-0.005930107,0.006081409,-0.002401963
-0.000958486,0.007307223,-0.0060774,-0.004729094,0.006487685,-0.0025823
-0.002357859,0.008780054,-0.006035387,-0.00652088,0.008231892,-0.001862955
-0.005528084,0.010279897,-0.0065564,-0.009485896,0.01123896,-0.000820751
-0.002075847,0.009998406,-0.009770867,-0.004925948,0.009968634,-0.00462827
-0.001330479,0.01051881,-0.009033408,-0.006953207,0.01056657,-0.003079891
-0.004186926,0.011317693,-0.007966286,-0.009751193,0.012178251,-0.002141213
-0.009650539,0.01263166,-0.00606996,-0.015075264,0.01589236,0.002336524
-0.002407839,0.008123296,-0.006857234,-0.006574326,0.007552081,-0.003377358
-0.002087841,0.009121663,-0.007526655,-0.00614775,0.008872919,-0.002723544
-0.003782542,0.010238967,-0.006988767,-0.008192303,0.01060874,-0.002451825
-0.007966412,0.011943829,-0.006271948,-0.012457492,0.014153524,0.000898479
-0.001969185,0.007028466,-0.007231836,-0.001363655,0.006149373,-0.00276206
-0.000436562,0.007945147,-0.006537862,-0.003655381,0.00651108,-0.002992505
-0.002372205,0.008529279,-0.006853798,-0.005933888,0.008233895,-0.002515592
-0.004978844,0.010390811,-0.006380733,-0.009319184,0.011196446,-0.001174309
-0.000222588,0.010232316,-0.009209477,-0.006074055,0.0091587,-0.003000787
-0.000968235,0.01068099,-0.007891188,-0.007707516,0.009923389,-0.003577325
-0.004219306,0.011152427,-0.007851248,-0.009829427,0.012299749,-0.002525699
-0.009721783,0.012549334,-0.006107074,-0.015304226,0.016286726,0.002127726
-0.002494703,0.008735229,-0.007341688,-0.00458698,0.00828723,-0.004334359
-0.002589584,0.008412272,-0.007757777,-0.00562402,0.008970089,-0.003838297
-0.003438009,0.009705336,-0.00756929,-0.007948422,0.010820128,-0.002184807
-0.007634134,0.011596845,-0.006828137,-0.012225263,0.013945388,0.000537491
